actor_id,actor_name,,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,cosine_distance,euclidean_distance
nm0000129,Tom Cruise,0.0,17.0,10.0,0.0,0.0,3.0,5.0,0.0,7.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,7.0,0.0,0.0,0.02688463061355484,5.477225575051661
nm0829032,Ray Stevenson,0.0,7.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.030271806682479085,13.674794331177344
nm0147147,Henry Cavill,0.0,12.0,9.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.04459907371977079,8.246211251235321
nm5899377,Tiger Shroff,0.0,7.0,3.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.04878254078965649,14.035668847618199
nm1679372,Sudeep,0.0,5.0,2.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.051694237969527324,16.1245154965971
nm0003244,Jordi Mollà,0.0,4.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.053414613481432394,16.73320053068151
nm0636280,Richard Norton,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05652570932413603,19.77371993328519
nm0607884,Mark Mortimer,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05652570932413603,19.77371993328519
nm4043618,Tom Holland,0.0,7.0,8.0,1.0,2.0,2.0,2.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.060189700993587,10.723805294763608
nm2207222,Scott Eastwood,0.0,6.0,5.0,0.0,1.0,3.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.06248822568588053,12.96148139681572
